index,Scope,Level 1,Activity,Waste type,Last level,UOM,GHG/Unit,GHG Conversion Factor
31070,Scope 3,Waste disposal,Paper,Paper and board: board,Open-loop,tonnes,kg CO2e,
31071,Scope 3,Waste disposal,Paper,Paper and board: mixed,Open-loop,tonnes,kg CO2e,
31072,Scope 3,Waste disposal,Paper,Paper and board: paper,Open-loop,tonnes,kg CO2e,
31070,Scope 3,Waste disposal,Paper,Paper and board: board,Closed-loop,tonnes,kg CO2e,4.68568
31071,Scope 3,Waste disposal,Paper,Paper and board: mixed,Closed-loop,tonnes,kg CO2e,4.68568
31072,Scope 3,Waste disposal,Paper,Paper and board: paper,Closed-loop,tonnes,kg CO2e,4.68568
31070,Scope 3,Waste disposal,Paper,Paper and board: board,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31071,Scope 3,Waste disposal,Paper,Paper and board: mixed,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31072,Scope 3,Waste disposal,Paper,Paper and board: paper,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31070,Scope 3,Waste disposal,Paper,Paper and board: board,Composting,tonnes,kg CO2e,8.98311
31071,Scope 3,Waste disposal,Paper,Paper and board: mixed,Composting,tonnes,kg CO2e,8.98311
31072,Scope 3,Waste disposal,Paper,Paper and board: paper,Composting,tonnes,kg CO2e,8.98311
31070,Scope 3,Waste disposal,Paper,Paper and board: board,Landfill,tonnes,kg CO2e,1164.4894
31071,Scope 3,Waste disposal,Paper,Paper and board: mixed,Landfill,tonnes,kg CO2e,1164.4894
31072,Scope 3,Waste disposal,Paper,Paper and board: paper,Landfill,tonnes,kg CO2e,1164.4894
31070,Scope 3,Waste disposal,Paper,Paper and board: board,Anaerobic digestion,tonnes,kg CO2e,
31071,Scope 3,Waste disposal,Paper,Paper and board: mixed,Anaerobic digestion,tonnes,kg CO2e,
31072,Scope 3,Waste disposal,Paper,Paper and board: paper,Anaerobic digestion,tonnes,kg CO2e,
